,SKU ,VARIANTS,Product Name,Category,Image,Component name,QTY,Unit Measurement,Unit cost,Total,USD,Artisan cost,Total Cost,Artisan skill level needed,Complexity,Number of processes,Basic techniques,Special techniques,Labour Cost,Material cost,cost
137,SS170132,,Luxe Lariat Choker,Necklace,,G 9 wire,37.6,mm,1.41,53.016,$0.51,,0,,,,,,,,
,,,,,,Labour,3,hrs,87.5,262.5,$2.53,,0,,,,,,,,
,,,,,,mark up,1,,100,100,$0.96,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,188.91,415.516,$4.00,200,238,,,,,,,,
138,SS171023B,BLACK,Solitaire Ring,Earring,,sheet bezzle 22,6.4,cm2,0.2,,,,0,,,,,,,,
,,,,,,wire gauge 13 band,5.1,cm,0.44,,,,0,,,,,,,,
,,,,,,labour,3,,87.5,,,,0,,,,,,,,
,,,,,,mark up,1,,50,,,,0,,,,,,,,
,,,,,,,,,,,,,0,,,,,,,,
,,,,,,,,,,,,,0,,,,,,,,
,,,,,,,,,,,,400,476,,,,,,,,
140,"SS170103B2





",BLACK,NESTLING ORB PE,Necklace,,,,,,,$0.00,,0,,,,,,,,
,,,,,,Horn Bead,1,pc,50,50,$0.48,,0,,,,,,,,
,,,,,,Sheet Half Sphere,35,cm2,0.2,7,$0.07,,0,,,,,,,,
,,,,,,Labour,0.5,hrs,87.5,43.75,$0.42,,0,,,,,,,,
,,,,,,mark up,1,,50,50,$0.48,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,187.7,150.75,$1.45,200,238,,,,,,,,
141,"SS1700059W





",,Circle Sawa Studs,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,wire gauge 16,11,cm,0.17,1.87,$0.02,,0,,,,,,,,
,,,,,,horn ball ,1,cm,50,50,$0.48,,0,,,,,,,,
,,,,,,labour,1.5,hrs,87.5,131.25,$1.26,,0,,,,,,,,
,,,,,,mark-up,1,,50,50,$0.48,,0,,,,,,,,
,,WHITE,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,187.67,233.12,$2.24,400,476,,,,,,,,
60,SS1700047N,NATURAL,Sawa Drop Studs,,,,,,,,$0.00,,0,,,,,,,,
,,,,,,Horn Bead,1,pc,50,50,$0.48,,0,,,,,,,,
,,,,,,G10 Wire,2,cm,1.12,2.24,$0.02,,0,,,,,,,,
,,,,,,Labour,2,hrs,87.5,175,$1.68,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,138.62,227.24,$2.19,400,476,,,,,,,,
,,,,,,,,,,,,,0,,,,,,,,
